Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.124112214170339,-0.0529278994069746,-0.167501673871954,-0.195642118640088,-0.263378182962536,-0.258952065713858,-0.275465178830871,-0.0809138876711549,-0.0661635563293742
2,0,-0.129859266621594,-0.0198614998162692,-0.14171702394903,-0.204733472913787,-0.263485465724148,-0.280608320520747,-0.284100876626467,-0.116799381502864,-0.103800209675851
3,0,-0.122054759967385,-0.0306177099625413,-0.153092959665383,-0.192961944442932,-0.257111747740801,-0.268306504100034,-0.275225418835657,-0.111590358192016,-0.101452080204634
4,0,-0.135293504435504,-0.0429663673151096,-0.150911101963632,-0.220141007198906,-0.272134196586731,-0.277385687033401,-0.30460317363671,-0.129916677207112,-0.108686884771955
5,0,-0.125213870451987,-0.0361633977749038,-0.156791051976671,-0.184775092051059,-0.258648987007249,-0.270970687010824,-0.279887023040008,-0.118212909563819,-0.109652619176788
6,0,-0.122743339975509,-0.0367349932276577,-0.15017845477981,-0.207235807261359,-0.265485172843426,-0.275566418590203,-0.293349736780484,-0.136513544675855,-0.134240343143922
7,0,-0.137319869328678,-0.01370857538159,-0.144750067924569,-0.175868932408507,-0.256210290663353,-0.27719748093311,-0.282463773785173,-0.122461523145663,-0.0972652917764995
8,0,-0.123388423733968,-0.0421833921904674,-0.142411740254267,-0.212870995194944,-0.258461464012863,-0.264234603910386,-0.295532279950474,-0.146068633418111,-0.15342605108066
9,0,-0.125199446570346,-0.0508373500011078,-0.169346547410157,-0.188073429441551,-0.257176111014975,-0.261857047992641,-0.283313623840438,-0.128828682839957,-0.0863978457952795
10,0,-0.12387820162496,-0.0494350287573297,-0.169429709619067,-0.189696359774277,-0.258081121764316,-0.262410119633563,-0.287678489034443,-0.147645998211812,-0.0825810101257561
11,0,-0.148680958288086,0.0140926912521526,-0.141778298545496,-0.151981499601077,-0.237726171041323,-0.265988399840086,-0.241487506722476,-0.0997810170530607,-0.0776129113251237
