Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13"
1,0,-0.105283722501477,-0.0489388136934681,-0.0946237374358631,-0.177728718276789,-0.189789171779403,-0.239232093966314,-0.218820437490993,-0.164010856600769,-0.1636665412146,-0.10159215130116,-0.0993482556777687,-0.165547881558818
2,0,-0.101242282407442,-0.0327594357975847,-0.0947032761473385,-0.174674934880977,-0.21029473712914,-0.26270687777774,-0.248414207431339,-0.179494288404341,-0.162184586382824,-0.0811072380896639,-0.0758762105911445,-0.146712427907488
3,0,-0.0823933372866906,-0.0449092039555802,-0.110825157220215,-0.172036320652559,-0.185160108424189,-0.239782507632022,-0.192089636397736,-0.130352585253282,-0.132154651487173,-0.0654091444073033,-0.06616681397041,-0.117485492570873
4,0,-0.119675307837464,-0.0310591188204719,-0.100701154042781,-0.181623998325423,-0.198169324315806,-0.237745443358405,-0.238398559721936,-0.182852587384849,-0.1921617260616,-0.101223453761287,-0.100511781822368,-0.176207332833852
5,0,-0.107163265118801,-0.0182955049990962,-0.100453806956566,-0.178475230145394,-0.202718082068065,-0.254014234997695,-0.225112005600248,-0.175629484987018,-0.161567618874203,-0.0754391013970666,-0.0740874487440829,-0.133608825032003
6,0,-0.126330937995478,-0.0302742924147541,-0.101245933296088,-0.191064191442483,-0.196032868145593,-0.231845899929345,-0.219301961498982,-0.181768146492916,-0.183342798779943,-0.114214181264474,-0.110826651535692,-0.174948478188624
7,0,-0.100853221012686,-0.031157193336951,-0.111456840700592,-0.168304609910884,-0.178712236322346,-0.244965994547057,-0.162482174362659,-0.125781378495206,-0.12803663612797,-0.0150045447228409,-0.0323113201224833,-0.0989992876405201
8,0,-0.0827873644243964,-0.0449744603003597,-0.117304997000192,-0.173812329892231,-0.179832731412931,-0.235066484017525,-0.170394952070172,-0.112317749857182,-0.128117471437314,-0.0393118616223362,-0.0451629080385687,-0.100091998483663
9,0,-0.124222702095691,-0.0286024664524205,-0.107153278048877,-0.175361757034863,-0.190956259084469,-0.23935330623129,-0.187577929024634,-0.161902033345096,-0.159737111197692,-0.0530364073046897,-0.0645040322114868,-0.146828207723944
10,0,-0.152242202744117,-0.0403903785990318,-0.0864748472489419,-0.188166961316203,-0.189226711550266,-0.226781186316889,-0.197044338888827,-0.177452776513602,-0.173925046066165,-0.0910240631683786,-0.0960381033116402,-0.189633599037708
11,0,-0.138518165789066,-0.028164457829407,-0.122923095910043,-0.195790114831267,-0.20806575813045,-0.236720535284031,-0.196820622410844,-0.199466170319075,-0.179746165894023,-0.103563924778781,-0.114593373032402,-0.180286644286193
12,0,-0.134744403605287,-0.0212366993563409,-0.107954359563647,-0.192853742526969,-0.192223499902584,-0.232832112372272,-0.182794302608,-0.180804451281222,-0.163658877614912,-0.101007646177426,-0.10200590421294,-0.155569476382389
13,0,-0.151777792863567,-0.0173582951103899,-0.124978414064732,-0.189895642538933,-0.19502893301171,-0.232413508558695,-0.149723111032953,-0.190762954228753,-0.154050197177955,-0.0790749829805182,-0.094752750565838,-0.153101414511712
14,0,-0.114372402794301,-0.0401769677805041,-0.115659758061392,-0.174905252091236,-0.18952286270341,-0.247900774939517,-0.165267087975198,-0.137036596200706,-0.139223297599332,-0.0146106798714782,-0.0293788054608985,-0.113620247128826
15,0,-0.125000651149046,-0.0355997288929905,-0.115623802161249,-0.174442163765195,-0.178006583397981,-0.239213429826657,-0.140008199192933,-0.139199805417503,-0.13459643580289,-0.0238103844906715,-0.0439392317104397,-0.11724816086047
16,0,-0.135216510846086,-0.0156402991798573,-0.136079128362087,-0.170182238173339,-0.210836829182909,-0.262107644612645,-0.146280373476269,-0.184806875815799,-0.13836088059818,-0.00393158961049811,-0.0361887429002641,-0.11947369094561
17,0,-0.150014948558362,-0.0135606088505721,-0.139963641371447,-0.180285458428018,-0.219563721408518,-0.252692163172831,-0.15120182906607,-0.207645668085524,-0.145023895742733,-0.0350456954669084,-0.0650790049525473,-0.145012268694483
18,0,-0.140667811245173,-0.0450337606188033,-0.122872608568483,-0.181218372581873,-0.201295915847389,-0.25191900649802,-0.150447954014838,-0.158106080970995,-0.141248189365208,-0.00975520060572244,-0.0330763874588756,-0.126951540286131
19,0,-0.161855565399367,-0.0389831939629056,-0.126521818811364,-0.184765648294067,-0.213213212369793,-0.248739234799319,-0.150761203923889,-0.186315239516289,-0.146435619596482,-0.024367845777918,-0.052097623370384,-0.149819122135102
