Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13","Regional strain value, cardiac phase_14"
1,0,0.0181995479784591,-0.0452383055641656,-0.0824358196320685,-0.168937597508971,-0.122961048933317,-0.0955536125639836,-0.042818035610516,-0.105961626633716,-0.132629723773257,-0.109895297478475,-0.0190077150632372,0.0777818207080199,-0.00754616818178921
2,0,0.0380179117403983,-0.0174119280335272,-0.0372252300733407,-0.144347759834697,-0.0944340326037498,-0.0821616100040935,-0.0219879092743123,-0.0840192328603383,-0.120244464492232,-0.102961061486718,-0.0169797233096061,0.0883947392553976,0.00682006541289737
3,0,0.00328991569018644,-0.0512431872707838,-0.107831396690341,-0.155468746807057,-0.134004991093435,-0.11368089046144,-0.061897242295185,-0.115337433612619,-0.141291942028752,-0.117121074737677,-0.0416906039958084,0.0584598058659946,-0.0179322552338721
4,0,0.0468487905067618,-0.0146895772710801,-0.033502748507359,-0.152962191115422,-0.0947939155804288,-0.0744026323854898,-0.015352611512458,-0.0902555741378179,-0.116725501259293,-0.100239102638432,-0.0241048047307917,0.0792067014978644,0.0106702226371125
5,0,0.0403479904828872,-0.0130013399561302,-0.0303704041044707,-0.134795943943137,-0.0833904379039375,-0.0733288548363001,-0.0100982220197099,-0.0766225773509762,-0.108399388169829,-0.0923281104274,-0.00705220602629875,0.0869431400505842,0.0193678918134337
6,0,0.0503799437508106,-0.0182703999821604,-0.0139776079572151,-0.143567491258493,-0.0852275871774134,-0.0697717776626825,-0.00713956409778227,-0.0796483253801438,-0.111053622063236,-0.0910679505470748,-0.0243658927921897,0.0773434023019386,0.014479457552012
7,0,0.0475252494163965,-0.00304679562463805,-0.0122938579555049,-0.111100092707557,-0.0769711147760083,-0.0739174854024817,-0.0142973355994848,-0.0785499885552873,-0.104037921756251,-0.0871616544118061,-0.0218757066184725,0.0739323249963122,0.0225703935995614
8,0,0.056002601011016,-0.00717360887104002,0.00449453019202695,-0.114324687934404,-0.0832838148973285,-0.0762635442479108,-0.0245375299094286,-0.0874954247501756,-0.10849605821148,-0.0879498548234875,-0.0396614750514701,0.0630407115884384,0.0142485914862907
9,0,0.0286842282029536,-0.0195088429469453,-0.0555636832952554,-0.13372632663166,-0.119376142809443,-0.0995163512828771,-0.0459715996422758,-0.0997837266195001,-0.122125340349038,-0.0992087480072951,-0.0563687996335661,0.0474200742119599,-0.0110986131302676
10,0,0.0116702393859671,-0.0418565636216486,-0.0955631638249984,-0.153603494549147,-0.131637634788512,-0.106033010503875,-0.0545461838515554,-0.113799226187725,-0.135346405804794,-0.111078824275676,-0.0646793789337211,0.0401664089699951,-0.0152229358702739
