Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.00399357350719465,-0.056898597815347,-0.102808653790108,-0.251356482998358,-0.221036463364377,-0.250447492262843,-0.1471225082055,-0.0850557488788184,-0.0690563386610072
2,0,0.0152394365674555,-0.0665725046683562,-0.103385182221538,-0.289688621297977,-0.260015228845576,-0.231297657135608,-0.171914159558393,-0.0925857104115783,-0.0919605586812109
3,0,0.0214038972440145,-0.0601191285556614,-0.0874695158044263,-0.272364233632724,-0.252719198209837,-0.23312795897137,-0.199356312764881,-0.113192867267575,-0.0990407806998337
4,0,-0.0416363769622697,-0.0713443191263435,-0.131606325370545,-0.286082367171097,-0.250421423882475,-0.255684035062729,-0.0835175004384138,-0.0402670475772361,-0.0509170025628609
5,0,-0.0138244523459496,-0.059002452032153,-0.145453551230164,-0.315128264314264,-0.262177664323538,-0.231183313193398,-0.153900988728683,-0.0712067985826663,-0.0969445104166651
6,0,-0.0297222764955472,-0.0669245952691611,-0.149907210871869,-0.321925907172769,-0.271375551166956,-0.235772227651779,-0.116070116666886,-0.0513052837815857,-0.0768020814653407
7,0,0.00583627182006952,-0.0491737676901444,-0.0998609884653355,-0.243915228004971,-0.220756466262087,-0.24240560037432,-0.142587019898549,-0.0754955671565759,-0.065005586877386
8,0,0.00111592724755472,-0.0567319705756586,-0.0982923019078467,-0.269597076938703,-0.243857613755194,-0.235067465700573,-0.219343339970939,-0.12423974218247,-0.105079720551003
9,0,-0.0306531351053366,-0.0666093537035263,-0.114342284416333,-0.241853452940466,-0.212809535884568,-0.277585006824533,-0.103690870319602,-0.0649225280946223,-0.0472820427484869
10,0,-0.0473312871760501,-0.0782278466986027,-0.12832384904934,-0.267487135780826,-0.22943294810147,-0.277287865567119,-0.0845682204005017,-0.0544615937942426,-0.0473339065772842
11,0,-0.0300568787938466,-0.0804923306348219,-0.132421601457323,-0.272178587479994,-0.219145805900509,-0.268221200678324,-0.0844967463401518,-0.0504049759209642,-0.0457679037754781
12,0,-0.0467558239990331,-0.079165257748401,-0.149573566701082,-0.307958146213817,-0.251188201300196,-0.249437973986879,-0.0904901661986611,-0.0469506790849238,-0.0590762120427838
13,0,-0.0236799564111045,-0.064271733609743,-0.168869667399554,-0.340278278310719,-0.284990469565989,-0.237699761482763,-0.163919579869761,-0.0825540454066035,-0.110878522801156
14,0,-0.0853138227738186,-0.0629920359472323,-0.181739520536619,-0.353793227769781,-0.308212786723543,-0.244577352897572,-0.183517591990365,-0.10148504351951,-0.128342631443531
15,0,0.0187737087989073,-0.0752237559037134,-0.120617135433142,-0.266613273519289,-0.250221415382643,-0.281110221417222,-0.172802091776893,-0.0696867663493183,-0.0287946679694101
16,0,0.00355520294465483,-0.0533063265577247,-0.121621051931254,-0.233808544169242,-0.253940892151154,-0.27088100603092,-0.16143035714892,-0.0634200627271739,-0.0150308585117072
17,0,0.00586532195618661,-0.0539603834369858,-0.126632380863235,-0.237448644842132,-0.250214949748544,-0.264642298922911,-0.193651226038706,-0.0797033431233306,-0.0189957552506187
18,0,-0.013250207657976,-0.0651242056899022,-0.129907819740874,-0.246551856685816,-0.267384536561672,-0.306245879791674,-0.145451682283764,-0.0551721709625428,-0.0139536809895585
19,0,-0.0235005327124549,-0.0620037833230299,-0.115145514867883,-0.242029611405616,-0.20814555584499,-0.276084489554454,-0.17446167415289,-0.11156158554324,-0.0749472797582396
20,0,-0.0249043010702911,-0.0580148604470949,-0.131608182394758,-0.283832032503464,-0.239310194188298,-0.254480612434349,-0.216612940219097,-0.121419077220173,-0.10128855838164
21,0,-0.0366824692192345,-0.0736781371453537,-0.122108561467143,-0.245756449270259,-0.20893749253915,-0.288533118417696,-0.124777969583207,-0.0855991098913038,-0.0566825621743009
22,0,-0.0512601663131748,-0.0818475605383916,-0.127927769829013,-0.246852725814544,-0.202622612944227,-0.287780695487905,-0.0858444178184921,-0.0609876597129309,-0.0408040156406027
23,0,-0.050793918617687,-0.0990410048013,-0.133111064933345,-0.262704149518609,-0.212267623028404,-0.294270275577512,-0.125654084950177,-0.0970489660078085,-0.065518504314283
24,0,-0.0695232338769213,-0.10209568154072,-0.145279567847851,-0.293618011515889,-0.246116081009992,-0.278111710260509,-0.156518365569745,-0.116128915196823,-0.0913902571479227
25,0,-0.0766289708060742,-0.0893281741234869,-0.154720475730209,-0.325732549257206,-0.297626570024739,-0.250582604390625,-0.183620674672289,-0.120301079836327,-0.114370661668178
26,0,-0.0102659396782386,-0.0653746403620996,-0.133916923354923,-0.249398188083624,-0.263756178522939,-0.29942686611051,-0.1747536281394,-0.0701624114285899,-0.0171797343962741
27,0,-0.0298618776389046,-0.0631901438308095,-0.130808434634631,-0.257901864538494,-0.221209987501309,-0.269695687002329,-0.160570362974245,-0.0900183980310896,-0.0691536354924938
28,0,-0.0346869696837181,-0.0734903306313386,-0.131311643075769,-0.254007477383417,-0.207014393541668,-0.284719166464984,-0.170238379015155,-0.115568071333372,-0.0773910137162174
29,0,-0.0431207686393944,-0.100909252585975,-0.131811201830119,-0.270393684459329,-0.23634560223951,-0.298226549771632,-0.16062561826542,-0.115578426033129,-0.0786251337074634
30,0,-0.0485238053661913,-0.108339795776059,-0.136491781601642,-0.270700091707238,-0.227263706793636,-0.290623254536665,-0.168033905636817,-0.125329759270807,-0.0860649032166408
31,0,-0.0536521306537114,-0.112442469949304,-0.135171250523893,-0.278540619964764,-0.249593274651115,-0.275926077043657,-0.182430145696358,-0.136492654923138,-0.0985414004543571
32,0,-0.0455181149856543,-0.0822955695939611,-0.134353257796401,-0.249121131983076,-0.210529286408065,-0.283170257640066,-0.146993619959953,-0.0919468745925849,-0.0613716827784061
33,0,-0.0528605189585085,-0.0931938955439936,-0.136570582039432,-0.257640317016081,-0.216039564994033,-0.275025270777411,-0.125290815567172,-0.0811332374526913,-0.0567127794555233
34,0,0.0488968069643365,-0.0584056429784826,-0.0883019101401944,-0.227200415435501,-0.200637564133961,-0.18852937129566,-0.2116935677028,-0.111169237172659,-0.0143780465798247
35,0,0.0142936817618919,-0.0817625910068521,-0.12610066526621,-0.237719360205473,-0.212023028015481,-0.209812695252343,-0.247269738023437,-0.113358607496173,-0.00115233583247265
36,0,0.0738722826754241,-0.0516613299181725,-0.0665159364329754,-0.235187262278364,-0.187467543295796,-0.159843265690521,-0.19007450255113,-0.13081922331059,-0.0249626141862126
37,0,0.00111927951552215,-0.0946652935797063,-0.158268370204348,-0.269581364198285,-0.268715399660655,-0.278662433704223,-0.191830913625478,-0.0959332748104317,0.00387775260396528
38,0,-0.0208354241790433,-0.112107770975363,-0.175178179556382,-0.277072755753641,-0.249250611296597,-0.267428613419918,-0.202551582049304,-0.0868855767255392,0.00942145894755542
39,0,-0.0118410733457736,-0.0983849775959077,-0.158372795350833,-0.27491379410487,-0.255235491986825,-0.280858143402829,-0.171539901190925,-0.0657771567812366,0.000874781138368252
40,0,0.044283168858555,-0.0588209581750797,-0.108069144367002,-0.243905118389526,-0.230980133239466,-0.209602890958477,-0.191850408041656,-0.12371903510113,-0.0177134788508486
41,0,0.0811399827370749,-0.0446131481290984,-0.0649072201849982,-0.231228931272556,-0.17675684382321,-0.147039739391736,-0.182151017720241,-0.124292068401989,-0.0302389953834695
42,0,0.00425685846778379,-0.0787874070644562,-0.147770621829661,-0.260566292602776,-0.280388614008401,-0.283298814075948,-0.187764689227605,-0.100699614970904,-0.00182769136173266
43,0,0.00442070808437034,-0.0634355296422778,-0.131127111359045,-0.235396182601197,-0.251263519814577,-0.256405996501041,-0.187694391429987,-0.0808148973912726,-0.0030352938918542
44,0,-0.00696546647083185,-0.0775663841691748,-0.137628422093189,-0.25618883716462,-0.263787804112832,-0.27734115244361,-0.157781067452061,-0.0649221971525795,-0.00416811912410808
45,0,-0.0207761065669365,-0.0898302734975652,-0.156988461263887,-0.280130830027278,-0.238101631857914,-0.274884738496588,-0.160582356194669,-0.0559820211760663,-0.0132192001324316
46,0,-0.0277864873103041,-0.0934783133323263,-0.162860044143488,-0.298726449395943,-0.260505461806858,-0.2977772155806,-0.136158737557071,-0.0468579800425483,-0.0123361621679758
47,0,0.0407124151224225,-0.0556706082372208,-0.112397357271635,-0.240627843213575,-0.229578785276548,-0.211389901422292,-0.197243829030492,-0.116544951045066,-0.0195080340104919
48,0,0.0677882317369169,-0.0610256160912543,-0.0884435364417915,-0.245950091895644,-0.19337253201014,-0.177358714089498,-0.178942701477223,-0.113476392351714,-0.0253688870584369
49,0,-0.000858948630678702,-0.0662184887162685,-0.149822748070943,-0.25059698967598,-0.281489498336382,-0.282976668627657,-0.19809103088103,-0.104138456450953,-0.00555023788163
50,0,-0.00335835862442102,-0.0614975114734152,-0.137392221627317,-0.241599155106752,-0.274044872418376,-0.282980333300046,-0.176724888871301,-0.0904583534769429,-0.00641412692462728
51,0,-0.00550796183225011,-0.0658854722841303,-0.128605950452521,-0.245858620911084,-0.269585981656655,-0.285140206419371,-0.155034554126678,-0.0703219485860029,-0.00860385700561506
52,0,-0.0159193896357035,-0.0720873057724983,-0.134436837187127,-0.257980932291959,-0.270881162085659,-0.290483815676713,-0.139091712022287,-0.0517463301289158,-0.0102538757502345
53,0,-0.0129343780288872,-0.0677597049121231,-0.131948494883622,-0.266375312452471,-0.253661668155515,-0.262878055764809,-0.134100877605749,-0.0343180436788865,-0.0181466859374703
54,0,0.0147625786161332,-0.0814823475491541,-0.0843116010231115,-0.29857702003333,-0.28910109122399,-0.232206761729853,-0.228400024595856,-0.13854070811777,-0.119775433513855
55,0,0.0150313029840827,-0.0733073738524593,-0.107454352425656,-0.30165643643037,-0.271843091318355,-0.228490632778534,-0.212783495713734,-0.122976316090204,-0.118158097891431
