x coordinate,y coordinate,z coordinate
108.75,51.841285168303,52.5
106.875,51.0164598451451,54.375
108.75,49.4003400532331,54.375
108.75,53.5031884412707,52.5
106.875,52.7075793769324,54.375
108.75,55.1405505558625,52.5
106.875,54.3780325278251,54.375
108.75,56.1138735252324,54.375
110.625,51.9260412412994,52.5
110.625,49.4742394723445,54.375
110.625,53.5863155951852,52.5
110.625,55.221001516955,52.5
110.625,56.8312367188196,52.5
110.625,57.8032262009674,54.375
112.5,51.2358605261992,54.375
112.5,52.9230341175075,54.375
112.5,55.2778043450445,52.5
112.5,56.2275737153818,54.375
114.375,54.6138558290405,54.375
103.125,49.0504554397427,54.375
101.25,48.2848657657847,56.25
103.125,46.6620664545458,56.25
103.125,50.7681083952393,54.375
101.25,50.0268589335903,56.25
103.125,52.4666170977063,54.375
101.25,51.7533142480661,56.25
103.125,53.5845368873328,56.25
105,47.4513552281493,54.375
105,45.0091841700371,56.25
105,49.186741339474,54.375
105,50.9013862190008,54.375
105,52.5957598921836,54.375
105,54.2705213974762,54.375
105,55.9265154573522,54.375
103.125,55.275162486299,56.25
105,57.0465333064435,56.25
106.875,46.8838318561714,56.25
106.875,49.3039670981455,54.375
106.875,56.0287221918454,54.375
106.875,57.6607407611372,54.375
106.875,58.7782309335682,56.25
108.75,46.9670862690173,56.25
108.75,57.7406702269629,54.375
108.75,58.8417725998984,56.25
110.625,47.739268418404,54.375
110.625,45.2540504322922,56.25
110.625,58.8912611046455,56.25
112.5,47.0707844629627,56.25
112.5,48.8269231228416,56.25
112.5,57.8472499466976,54.375
112.5,59.4470876821303,54.375
112.5,60.545281932195,56.25
114.375,51.2624748985037,54.375
114.375,48.8475254451533,56.25
114.375,52.9504172158988,54.375
114.375,56.2538732800494,54.375
114.375,57.8717778733584,54.375
114.375,59.4690914541506,54.375
114.375,60.5609375439229,56.25
116.25,50.5836607176007,56.25
116.25,52.9539223122345,54.375
116.25,54.6184025984101,54.375
116.25,56.2586676818729,54.375
116.25,57.8760634513583,54.375
116.25,59.4721568946243,54.375
116.25,61.0487203267477,54.375
116.25,62.16070421453,56.25
118.125,52.2795260016166,56.25
118.125,54.5996435877393,54.375
118.125,56.2414049422302,54.375
118.125,57.8595955428597,54.375
118.125,59.455819687981,54.375
118.125,61.0318934999206,54.375
118.125,62.144381675872,56.25
120,54.5572625655043,54.375
120,52.2382120564366,56.25
120,56.2017932618648,54.375
120,57.8221127104563,54.375
120,59.4198543059449,54.375
120,60.9968693778813,54.375
120,62.1135308895797,56.25
121.875,53.8775275846593,56.25
121.875,55.556748843584,56.25
121.875,57.2138415163529,56.25
121.875,58.8502931289157,56.25
121.875,60.467794315841,56.25
99.375,46.3783399581292,56.25
97.5,45.6986282669028,58.125
99.375,44.0467349145354,58.125
99.375,48.1390668777506,56.25
97.5,47.4783912990916,58.125
99.375,49.8850383021443,56.25
97.5,49.2466483274234,58.125
99.375,51.6165251895602,56.25
97.5,51.0035687435008,58.125
99.375,53.3339349396545,56.25
97.5,52.7494309593181,58.125
99.375,55.0378106869598,56.25
97.5,54.4846227899704,58.125
99.375,56.7288287698487,56.25
97.5,56.2096403352321,58.125
99.375,58.0225123972409,58.125
101.25,46.5270187155978,56.25
101.25,44.1757281529532,58.125
101.25,53.4646946033219,56.25
101.25,55.1616083484643,56.25
101.25,56.8448059255117,56.25
101.25,58.1138032597206,58.125
103.125,44.8892742116836,56.25
103.125,42.4906469516399,58.125
103.125,56.9512063044663,56.25
103.125,58.6136351778355,56.25
103.125,59.8795893791834,58.125
105,42.5925813024403,58.125
105,58.7017682539376,56.25
105,59.9477336582299,58.125
106.875,44.482596853536,58.125
106.875,60.0067288424034,58.125
108.75,45.1931896306915,56.25
108.75,42.7461550290135,58.125
108.75,60.4705694776172,56.25
108.75,61.707175495809,58.125
110.625,42.7948138844709,58.125
110.625,60.5149079131365,56.25
110.625,62.1247975597345,56.25
110.625,63.3756365519057,58.125
112.5,44.6360656106366,58.125
112.5,62.1504928361403,56.25
112.5,63.3923460177824,58.125
114.375,47.0887742924811,56.25
114.375,44.6470073282873,58.125
114.375,62.1626320141338,56.25
114.375,63.7512130931515,56.25
114.375,65.0163821233484,58.125
116.25,47.0829328620355,56.25
116.25,44.6362693637032,58.125
116.25,48.8451783077954,56.25
116.25,63.3936391807147,58.125
118.125,46.4092923359033,58.125
118.125,48.81926078463,56.25
118.125,50.5613757389787,56.25
118.125,63.728668321655,56.25
118.125,64.9906277710447,58.125
120,48.1485125191384,58.125
120,50.5161333104657,56.25
120,63.6976731883311,56.25
120,64.9626608144141,58.125
121.875,49.8545898001221,58.125
121.875,52.174909394012,56.25
121.875,62.0682200688566,56.25
121.875,63.6536085847339,56.25
121.875,64.9247618279195,58.125
123.75,51.5290737941711,58.125
123.75,53.2623154148833,58.125
123.75,54.9742960124045,58.125
123.75,56.6661621160993,58.125
123.75,58.3392637539836,58.125
123.75,59.9951392448113,58.125
123.75,61.635497484026,58.125
123.75,63.2621979924979,58.125
93.75,52.4932256602197,58.125
91.875,52.0297397703759,60
93.75,50.3648036233273,60
93.75,54.2430388232055,58.125
91.875,53.8061865192629,60
93.75,55.6739976711816,60
95.625,47.3363442242323,58.125
93.75,46.7875364352173,60
95.625,45.1157893737727,60
95.625,49.1091105879143,58.125
93.75,48.5800516944465,60
95.625,50.8714702579614,58.125
95.625,52.623645918048,58.125
95.625,54.3659610810709,58.125
95.625,56.0988397756242,58.125
95.625,57.8228048215172,58.125
93.75,57.429608503012,60
95.625,59.2589798270136,60
97.5,43.4358247435024,60
97.5,57.9250853484663,58.125
97.5,59.6316611083134,58.125
97.5,61.0629649919257,60
99.375,41.7419815891289,60
99.375,59.7203725590771,58.125
99.375,61.1290402399224,60
101.25,41.8517784096031,60
101.25,59.8034131829952,58.125
101.25,61.4839160230421,58.125
101.25,62.8946444545424,60
103.125,40.1258570456045,60
103.125,61.5518489558353,58.125
103.125,62.9436802537607,60
105,40.2103564460742,60
105,61.6123764656195,58.125
105,63.2680616723759,58.125
105,64.6695659409497,60
